Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
love and desire part i,arpeggio,5,78,99
love and emotion,stevie b,15,38,96
love and happiness,earnest jackson,6,72,72
love and loneliness,the motors,5,81,98
love and pride,king,11,67,93
love and rock and roll,greg kihn,5,94,100
love and understanding,cher,15,38,93
love and understanding come together,kool  the gang,8,89,94
love and war,tamar braxton,20,77,97
love at 1st sight,mary j blige featuring method man,13,48,100
love at first sight,kylie minogue,16,57,92
love at first sight,styx,16,49,97
love ballad,george benson,15,44,97
love ballad,ltd,18,43,93
love bites,def leppard,23,38,94
love bones,johnnie taylor,10,62,77
love bug,bumble bee unlimited,5,96,96
love bug,jack jones,6,76,77
love bug leave my heart alone,martha  the vandellas,9,47,79
love came to me,dion,11,30,56
love can make you happy,mercy,13,21,62
love can move mountains,celine dion,17,58,97
love cant wait,marty robbins,6,75,83
love changes everything,climie fisher,18,53,96
love changes everything,honeymoon suite,2,91,93
love child,diana ross  the supremes,16,9,29
love child,sweet sensation,15,32,85
love come down,evelyn king,16,47,99
love comes quickly,pet shop boys,8,72,92
love corporation,the hues corporation,6,76,95
love crazy,atlantic starr,8,81,93
love cries,stage dolls,13,70,98
love desire,sandee,11,70,94
love done gone,billy currington,15,70,90
love dont cost a thing,jennifer lopez,21,14,48
love dont die,the fray,9,72,82
love dont live here,lady antebellum,18,73,96
love dont live here anymore,madonna,8,85,100
love dont live here anymore,rose royce,11,50,92
love dont love nobody  pt i,the spinners,13,46,88
love dont love you,en vogue,16,54,97
love dont run,steve holy,7,88,98
love dont you go through no changes on me,sister sledge,3,92,92
love drought,beyonce,2,47,73
love drunk,boys like girls,20,32,52
love explosion,troy keyes,3,93,93
love eyes,nancy sinatra,8,37,61
love faces,trey songz,15,75,97
love finds its own way,gladys knight and the pips,8,63,78
love fire,jigsaw,11,51,79
love for free,rell featuring jayz,3,87,92
love for love,robin s,19,68,90
love for sale,arthur lyman group,11,61,94
love galore,sza featuring travis scott,20,46,81
love gets me every time,shania twain,20,52,100
love gets rough,troy newman,4,95,97
love gonna pack up and walk out,the persuaders,10,80,96
love grammar,john parr,2,92,89
love grows where my rosemary goes,edison lighthouse,13,16,28
love gun,kiss,7,68,75
love hangover,diana ross,18,23,100
love hangover,the 5th dimension,4,91,91
love has a mind of its own,donna summer,4,79,96
love has finally come at last,bobby womack  patti labelle,5,90,94
love has no pride,linda ronstadt,11,68,92
love has taken its toll,saraya,9,78,92
love her madly,the doors,11,26,45
love hurts,nazareth,23,34,84
love ii love,damage,4,87,95
love in an elevator,aerosmith,16,28,93
love in c minor,the heart and soul orchestra,7,58,97
love in c minor  pt i,cerrone,8,55,84
love in every room,paul mauriat and his orchestra,6,66,77
love in siberia,laban,4,90,98
love in store,fleetwood mac,14,43,96
love in the city,the turtles,2,99,91
love in the first degree,alabama,21,41,96
love in the first degree,bananarama,10,62,98
love in the shadows,neil sedaka,11,36,70
love in them there hills,the vibrations,2,93,93
love in this club,usher featuring young jeezy,25,15,51
love in this club part ii,usher featuring beyonce  lil wayne,14,51,100
love is,alannah myles,13,54,87
love is a 5letter word,james phelps,7,83,94
love is a battlefield,pat benatar,22,29,94
love is a beautiful thing,phil vassar,17,72,99
love is a house,force mds,9,84,94
love is a hurtin thing,lou rawls,14,41,89
love is a killer,vixen,6,80,100
love is a rock,reo speedwagon,6,72,90
love is a rose,linda ronstadt,2,73,63
love is a stranger,eurythmics,13,44,97
love is a wonderful thing,michael bolton,17,28,98
love is alive,3rd party,11,70,90
love is alive,gary wright,27,30,73
love is all,engelbert humperdinck,3,98,96
love is all around,the troggs,16,34,85
love is all around,wet wet wet,20,57,92
love is all i have to give,the checkmates ltd,7,76,83
love is all we need,mel carter,8,63,76
love is all we need,tommy edwards,16,36,76
love is all we need,vic dana,7,70,79
love is all you need,high inergy,5,93,99
love is alright tonite,rick springfield,16,42,94
love is an open door,kristen bell  santino fontana,4,74,92
love is better in the am part 1,johnnie taylor,7,87,93
love is blind,eve featuring faith evans,16,58,99
love is blue,al martino,7,62,69
love is blue lamour est bleu,claudine longet,9,83,97
love is blue lamour est bleu,manny kellem  his orchestra and voices,2,100,96
love is blue lamour est bleu,paul mauriat and his orchestra,18,19,84
love is contagious,taja sevelle,10,71,96
love is forever,billy ocean,16,35,83
love is free,sheryl crow,6,90,98
love is from beverly hills 90210,vanessa williamsbrian mcknight,28,28,75
love is funny that way,jackie wilson,3,98,97
love is gonna come at last,badfinger,4,78,76
love is here and now youre gone,the supremes,11,13,29
love is in control finger on the trigger,donna summer,18,36,95
love is in the air,john paul young,21,29,95
love is just a fourletter word,joan baez,4,87,89
love is life,earth wind  fire,5,94,94
love is like a baseball game,the intruders,9,54,78
love is like a rock,donnie iris,14,62,98
love is like an itching in my heart,the supremes,8,22,31
love is like oxygen,sweet,25,35,93
love is me love is you,connie francis,6,83,92
love is on the way,saigon kick,22,34,82
love is strange,peaches  herb,9,32,52
love is strong,the rolling stones,5,94,97
love is the answer,england dan  john ford coley,18,35,96
love is the drug,roxy music,14,50,79
love is the hero,billy squier,5,85,100
love is the key,maze featuring frankie beverly,5,84,94
love is the message,mfsb featuring the three degrees,4,89,98
love is the ritual,styx,6,85,99
love is the seventh wave,sting,13,32,70
love is the sweetest thing,saverio saridis,5,90,89
love is thicker than water,andy gibb,29,26,93
love is what you make it,the grass roots,10,66,81
love jones,brighter side of darkness,13,35,77
love kills,freddie mercury,6,76,91
love king,thedream,3,98,98
love land,charles wright and the watts 103rd street rhythm band,17,40,63
love letters,elvis presley,7,30,55
love letters,ketty lester,14,27,67
love lies,khalid  normani,51,32,66
love lifted me,kenny rogers,3,100,99
love light,yutaka,3,83,96
love light in flight,stevie wonder,16,40,97
love like a man,ten years after,2,98,98
love like crazy,lee brice,20,59,92
love like this,faith evans,20,26,83
love like this,natasha bedingfield featuring sean kingston,20,30,73
love like winter,afi,5,77,89
love like woe,the ready set,21,50,95
love lockdown,kanye west,23,14,42
love love,al green,12,30,58
love love love,donny hathaway,9,62,76
love machine,the okaysions,6,79,81
love machine part 1,the miracles,28,32,85
love makes a woman,barbara acklin,12,40,71
love makes me do foolish things,martha  the vandellas,7,89,91
love makes the world go round,deon jackson,14,39,81
love makes the world go round,kiki dee,3,89,89
love makes the world go round,odds  ends,6,88,87
love makes the world go round,paul anka,8,40,55
love makes the world go round,perry como,10,54,87
love makes things happen,pebbles,19,44,95
love man,otis redding,5,74,75
love me,112 featuring mase,16,30,89
love me,bobby hebb,3,94,92
love me,justin bieber,3,52,95
love me,lil wayne featuring drake  future,22,20,47
love me,the impressions,3,95,95
love me,the rascals,4,97,98
love me,tracie spencer,15,62,83
love me,yvonne elliman,19,35,100
love me again,john newman,18,52,85
love me again,rita coolidge,7,79,97
love me again,the john hall band,10,75,100
love me all the way,kim weston,5,96,96
love me all up,stacy earl,19,50,93
love me as i love you,george maharis,6,68,66
love me do,the beatles,14,24,73
love me for a reason,the osmonds,13,41,99
love me for life,stevie b,14,48,99
love me for what i amthere aint no way,lobo,2,86,87
love me forever,roger williams,5,70,74
love me forever or love me not,trilogy,7,87,99
love me good,michael w smith,5,69,92
love me harder,ariana grande  the weeknd,22,22,57
love me if you can,toby keith,17,64,90
love me in a special way,debarge,11,63,96
love me just for me,special generation,4,95,99
love me like you do,ellie goulding,34,18,48
love me like you mean it,kelsea ballerini,18,69,94
love me love me love,frank mills,9,60,74
love me love the life i lead,the fantastics,4,89,87
love me now,john legend,19,45,88
love me one more time just for old times sake,karen nelson and billy t,4,81,80
love me or hate me fk you,lady sovereign,9,62,93
love me or leave me alone,brand nubian,3,92,98
love me right,denise lasalle,10,89,93
love me right oh sheila,angel city featuring lara mcallen,4,96,100
love me tender,percy sledge,6,57,65
love me tender,richard chamberlain,9,43,60
love me the right way,rapination  kym mazelle,4,99,100
love me tomorrow,chicago,15,43,91
love me tonight,blackjack,6,70,98
love me tonight,head east,6,68,76
love me tonight,tom jones,11,29,45
love me two times,the doors,7,46,59
love me warm and tender,paul anka,12,32,64
love me with all of your heart,the bachelors,6,57,72
love me with all your heart cuando calienta el sol,the ray charles singers,15,27,93
love means you never have to say youre sorry,sounds of sunshine,12,62,92
love minus zerono limit,turley richards,3,86,85
love more,chris brown featuring nicki minaj,26,40,90
love music,the raiders,5,98,98
love my way,psychedelic furs,10,54,94
love myself,hailee steinfeld,16,50,93
love never fails,greg kihn band,6,66,88
love never felt so good,michael jackson  justin timberlake,20,49,88
love no limit,mary j blige,16,64,98
love of a lifetime,chaka khan,12,70,97
love of a lifetime,firehouse,22,30,71
love of a woman,travis tritt,20,59,85
love of my life,brian mcknight,20,69,95
love of my life,gino vannelli,8,80,98
love of my life,sammy kershaw,5,88,100
love of my life,the everly brothers,6,65,80
love of my life an ode to hip hop,erykah badu featuring common,27,39,89
love of the common people,paul young,11,64,96
love of the common people,the winstons,6,57,69
love on a rooftop,desmond child,12,59,100
love on a shoestring,captain  tennille,7,66,100
love on a two way street,stacy lattisaw,17,47,92
love on a twoway street,the moments,15,18,40
love on my mind,xscape,15,62,95
love on my mind tonight,the temptations,3,88,96
love on the airwaves,night,3,88,100
love on the brain,rihanna,31,26,74
love on the phone,suzanne fellini,2,89,87
love on the rocks,neil diamond,20,16,94
love on top,beyonce,20,68,96
love on your side,thompson twins,9,61,94
love or leave,the spinners,8,51,66
love or let me be lonely,paul davis,10,55,91
love or let me be lonely,the friends of distinction,13,25,61
love or something like it,kenny rogers,12,58,97
love overboard,gladys knight and the pips,14,37,71
love pains,yvonne elliman,13,51,88
love plus one,haircut one hundred,17,56,96
love potion no 9,the clovers,17,50,80
love potion number nine,the coasters,6,81,98
love potion number nine,the searchers,14,23,61
love power,dionne warwick  jeffrey osborne,14,32,100
love power,the sandpebbles,12,44,67
love power,willie hutch,6,64,82
love really hurts without you,billy ocean,11,42,100
love reign oer me,the who,5,86,91
love remains the same,gavin rossdale,31,53,90
love remembers,craig morgan,9,80,97
love resurrection,alison moyet,4,86,90
love rollercoaster,ohio players,16,13,57
love runs out,onerepublic,20,31,61
love sets you free,kelly price  friends,4,94,100
love sex magic,ciara featuring justin timberlake,12,39,98
love shack,the b52s,27,35,96
love shoulda brought you home from boomerang,toni braxton,20,54,76
love sneakin up on you,bonnie raitt,20,41,64
love so right,bee gees,23,28,63
love so soft,kelly clarkson,13,64,81
love somebody,maroon 5,21,22,45
love somebody,rick springfield,16,24,93
love someone,brett eldredge,10,76,91
love someone,lukas graham,10,79,96
love song,311,20,74,89
love song,anne murray,17,40,89
love song,sara bareilles,41,27,98
love song,tesla,27,38,95
love song,the cure,17,27,83
love song,tommy james,6,78,86
love sosa,chief keef,14,76,97
love stinks,the j geils band,12,57,100
love story,taylor swift,49,18,49
love struck,jesse johnson,8,88,100
love struck,stonebolt,5,78,98
love takes a long time growing,deon jackson,5,82,82
love takes time,mariah carey,26,27,90
love takes time,orleans,15,41,96
love that got away,firefall,9,66,94
love that really counts,natural four,2,98,100
love the one youre with,stephen stills,11,27,39
love the one youre with,the isley brothers,11,33,51
love the one youre withgoing in circles,luther vandross,2,95,99
love the way,eol,6,89,95
love the way you lie,eminem featuring rihanna,29,14,46
love the world away,kenny rogers,12,29,93
love theme from eyes of laura mars prisoner,barbra streisand,12,41,96
love theme from one eyed jacks,ferrante  teicher,7,54,61
love theme from romeo  juliet,henry mancini and his orchestra,14,15,47
love theme from romeo and juliet a time for us,johnny mathis,3,99,99
love theme from shogun marikos theme,meco,4,74,93
love theme from st elmos fire instrumental,david foster,22,45,92
love theme from the godfather,carlo savina,9,73,80
love theme from the godfather speak softly love,andy williams,11,51,74
love theme from the sandpiper the shadow of your smile,tony bennett,6,98,99
love tko,teddy pendergrass,13,58,92
love to love you baby,donna summer,18,20,97
love to the world,ltd,3,98,96
love touch theme from legal eagles,rod stewart,18,30,99
love train,holly johnson,6,73,94
love train,the ojays,14,17,37
love truth  honesty,bananarama,3,90,96
love u 4 life,jodeci,20,46,70
love u more,sunscreem,19,60,90
love uprising,otis leaville,7,80,82
love walked in,dinah washington,10,52,64
